药物1,药物2,相互作用类型,详细描述
5-fluorouracil,etodolac,药效减弱,The metabolism of Etodolac can be decreased when combined with Fluorouracil.
5-fluorouracil,aspirin,药效减弱,The metabolism of Acetylsalicylic acid can be decreased when combined with Fluorouracil.
5-fluorouracil,vicriviroc,药效减弱,The metabolism of Vicriviroc can be decreased when combined with Fluorouracil.
5-fluorouracil,sertraline,药效减弱,The metabolism of Sertraline can be decreased when combined with Fluorouracil.
5-fluorouracil,zafirlukast,药效减弱,The metabolism of Zafirlukast can be decreased when combined with Fluorouracil.
5-fluorouracil,dacomitinib,药效减弱,The metabolism of Dacomitinib can be decreased when combined with Fluorouracil.
5-fluorouracil,cabozantinib,药效减弱,The metabolism of Fluorouracil can be decreased when combined with Cabozantinib.
5-fluorouracil,sunitinib malate,药效增强,The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Sunitinib.
5-fluorouracil,neomycin sulphate,药效减弱,Neomycin can cause a decrease in the absorption of Fluorouracil resulting in a reduced serum concentration and potentially a decrease in efficacy.
5-fluorouracil,INCB28060,药效增强,The serum concentration of Fluorouracil can be increased when it is combined with Capmatinib.
5-fluorouracil,lonafarnib,药效增强,The serum concentration of Lonafarnib can be increased when it is combined with Fluorouracil.
5-fluorouracil,febuxostat,药效减弱,The excretion of Fluorouracil can be decreased when combined with Febuxostat.
5-fluorouracil,proparacaine,药效增强,The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Proparacaine.
zafirlukast,ibrutinib,药效减弱,The metabolism of Ibrutinib can be decreased when combined with Zafirlukast.
zafirlukast,aminophylline,药效减弱,The serum concentration of Zafirlukast can be decreased when it is combined with Aminophylline.
zafirlukast,theobromine,药效减弱,The serum concentration of Zafirlukast can be decreased when it is combined with Theobromine.
zafirlukast,sertraline,药效减弱,The metabolism of Sertraline can be decreased when combined with Zafirlukast.
zafirlukast,fedratinib,药效减弱,The metabolism of Fedratinib can be decreased when combined with Zafirlukast.
zafirlukast,sulfaphenazole,药效减弱,The metabolism of Zafirlukast can be decreased when combined with Sulfaphenazole.
zafirlukast,aripiprazole,药效减弱,The metabolism of Aripiprazole can be decreased when combined with Zafirlukast.
zafirlukast,NVP-BGJ398,药效减弱,The metabolism of Infigratinib can be decreased when combined with Zafirlukast.
zafirlukast,dabrafenib,药效减弱,The serum concentration of Zafirlukast can be decreased when it is combined with Dabrafenib.
zafirlukast,pazopanib,药效增强,The serum concentration of Pazopanib can be increased when it is combined with Zafirlukast.
zafirlukast,ponatinib,药效增强,The serum concentration of Ponatinib can be increased when it is combined with Zafirlukast.
zafirlukast,dacomitinib,药效增强,The serum concentration of Dacomitinib can be increased when it is combined with Zafirlukast.
zafirlukast,ceritinib,药效增强,The serum concentration of Ceritinib can be increased when it is combined with Zafirlukast.
zafirlukast,vinblastine sulfate,药效增强,The serum concentration of Vinblastine can be increased when it is combined with Zafirlukast.
zafirlukast,doxorubicin hydrochloride,药效增强,The serum concentration of Doxorubicin can be increased when it is combined with Zafirlukast.
zafirlukast,sunitinib malate,药效增强,The serum concentration of Sunitinib can be increased when it is combined with Zafirlukast.
zafirlukast,everolimus,药效增强,The serum concentration of Everolimus can be increased when it is combined with Zafirlukast.
zafirlukast,cobimetinib,药效增强,The serum concentration of Cobimetinib can be increased when it is combined with Zafirlukast.
zafirlukast,temsirolimus,药效增强,The serum concentration of Temsirolimus can be increased when it is combined with Zafirlukast.
zafirlukast,crizotinib,药效增强,The serum concentration of Crizotinib can be increased when it is combined with Zafirlukast.
zafirlukast,venetoclax,药效增强,The serum concentration of Venetoclax can be increased when it is combined with Zafirlukast.
zafirlukast,etoposide,药效增强,The serum concentration of Etoposide can be increased when it is combined with Zafirlukast.
zafirlukast,methotrexate,药效增强,The serum concentration of Methotrexate can be increased when it is combined with Zafirlukast.
zafirlukast,panobinostat,药效增强,The serum concentration of Panobinostat can be increased when it is combined with Zafirlukast.
zafirlukast,depsipeptide,药效增强,The serum concentration of Romidepsin can be increased when it is combined with Zafirlukast.
zafirlukast,enzalutamide,药效减弱,The serum concentration of Zafirlukast can be decreased when it is combined with Enzalutamide.
zafirlukast,ARN-509,药效减弱,The serum concentration of Zafirlukast can be decreased when it is combined with Apalutamide.
zafirlukast,etodolac,药效减弱,The metabolism of Etodolac can be decreased when combined with Zafirlukast.
zafirlukast,ondansetron,药效减弱,The metabolism of Ondansetron can be decreased when combined with Zafirlukast.
zafirlukast,aspirin,药效减弱,The metabolism of Acetylsalicylic acid can be decreased when combined with Zafirlukast.
zafirlukast,vicriviroc,药效减弱,The metabolism of Vicriviroc can be decreased when combined with Zafirlukast.
zafirlukast,niclosamide,药效减弱,The metabolism of Niclosamide can be decreased when combined with Zafirlukast.
zafirlukast,oxandrolone,药效减弱,The metabolism of Zafirlukast can be decreased when combined with Oxandrolone.
zafirlukast,carvedilol,药效减弱,The metabolism of Carvedilol can be decreased when combined with Zafirlukast.
zafirlukast,istradefylline,药效减弱,The metabolism of Istradefylline can be decreased when combined with Zafirlukast.
zafirlukast,lumacaftor,药效减弱,The metabolism of Zafirlukast can be decreased when combined with Lumacaftor.
zafirlukast,rhein,药效减弱,The metabolism of Zafirlukast can be decreased when combined with Rhein.
zafirlukast,cabozantinib,药效减弱,The metabolism of Cabozantinib can be decreased when combined with Zafirlukast.
zafirlukast,lonafarnib,药效增强,The serum concentration of Lonafarnib can be increased when it is combined with Zafirlukast.
zafirlukast,NSC756696,药效减弱,The metabolism of Clindamycin can be decreased when combined with Zafirlukast.
zafirlukast,INCB28060,药效增强,The serum concentration of Capmatinib can be increased when it is combined with Zafirlukast.
zafirlukast,quercetin,药效减弱,The metabolism of Zafirlukast can be decreased when combined with Quercetin.
zafirlukast,binimetinib,药效减弱,The metabolism of Binimetinib can be decreased when combined with Zafirlukast.
lamotrigine,ceritinib,药效增强,Lamotrigine may increase the bradycardic activities of Ceritinib.
lamotrigine,mycophenolate mofetil,药效增强,The metabolism of Mycophenolate mofetil can be increased when combined with Lamotrigine.
lamotrigine,flavopiridol,药效增强,The metabolism of Alvocidib can be increased when combined with Lamotrigine.
lamotrigine,febuxostat,药效增强,The metabolism of Febuxostat can be increased when combined with Lamotrigine.
lamotrigine,sertraline,药效增强,The risk or severity of adverse effects can be increased when Lamotrigine is combined with Sertraline.
lamotrigine,sibutramine,药效增强,The risk or severity of adverse effects can be increased when Lamotrigine is combined with Sibutramine.
lamotrigine,adenosine,药效增强,Lamotrigine may increase the arrhythmogenic activities of Adenosine.
lamotrigine,bepridil,药效增强,Lamotrigine may increase the arrhythmogenic activities of Bepridil.
lamotrigine,vinpocetine,药效增强,Lamotrigine may increase the arrhythmogenic activities of Vinpocetine.
lamotrigine,caroverine,药效增强,Lamotrigine may increase the arrhythmogenic activities of Caroverine.
lamotrigine,carvedilol,药效增强,Lamotrigine may increase the arrhythmogenic activities of Carvedilol.
lamotrigine,biperiden,药效增强,The risk or severity of Tachycardia can be increased when Lamotrigine is combined with Biperiden.
lamotrigine,roxithromycin,药效增强,The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Roxithromycin.
lamotrigine,panobinostat,药效增强,The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Panobinostat.
lamotrigine,crizotinib,药效增强,Crizotinib may increase the bradycardic activities of Lamotrigine.
lamotrigine,lenvatinib,药效增强,The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Lenvatinib.
lamotrigine,CUDC-101,药效增强,The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with CUDC-101.
lamotrigine,telithromycin,药效增强,The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Telithromycin.
lamotrigine,clarithromycin,药效增强,The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Clarithromycin.
lamotrigine,depsipeptide,药效增强,The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Romidepsin.
lamotrigine,fluticasone propionate,药效增强,The risk or severity of CNS depression can be increased when Lamotrigine is combined with Fluticasone propionate.
lamotrigine,levetiracetam,药效增强,The risk or severity of CNS depression can be increased when Lamotrigine is combined with Levetiracetam.
lamotrigine,enalapril,药效增强,The risk or severity of hyperkalemia can be increased when Lamotrigine is combined with Enalapril.
lamotrigine,perindopril,药效增强,The risk or severity of hyperkalemia can be increased when Lamotrigine is combined with Perindopril.
lamotrigine,aminophylline,药效增强,Lamotrigine may increase the excretion rate of Aminophylline which could result in a lower serum level and potentially a reduction in efficacy.
lamotrigine,theobromine,药效增强,Lamotrigine may increase the excretion rate of Theobromine which could result in a lower serum level and potentially a reduction in efficacy.
lamotrigine,trifluoperazine,药效增强,The risk or severity of CNS depression can be increased when Lamotrigine is combined with Trifluoperazine.
lamotrigine,ondansetron,药效增强,The risk or severity of CNS depression can be increased when Lamotrigine is combined with Ondansetron.
lamotrigine,aripiprazole,药效增强,The risk or severity of CNS depression can be increased when Lamotrigine is combined with Aripiprazole.
lamotrigine,rolipram,药效增强,The risk or severity of CNS depression can be increased when Lamotrigine is combined with Rolipram.
lamotrigine,norfloxacin,药效增强,The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Norfloxacin.
lamotrigine,sunitinib malate,药效增强,The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Sunitinib.
lamotrigine,dabrafenib,药效减弱,The metabolism of Lamotrigine can be decreased when combined with Dabrafenib.
lamotrigine,methotrexate,药效减弱,Methotrexate may decrease the excretion rate of Lamotrigine which could result in a higher serum level.
lamotrigine,bacitracin A,药效减弱,Bacitracin may decrease the excretion rate of Lamotrigine which could result in a higher serum level.
lamotrigine,etodolac,药效增强,The risk or severity of hyperkalemia can be increased when Lamotrigine is combined with Etodolac.
lamotrigine,aspirin,药效增强,The risk or severity of hyperkalemia can be increased when Lamotrigine is combined with Acetylsalicylic acid.
lamotrigine,tadalafil,药效减弱,Lamotrigine may decrease the excretion rate of Tadalafil which could result in a higher serum level.
lamotrigine,ArAAC,药效减弱,Lamotrigine may decrease the excretion rate of Azacitidine which could result in a higher serum level.
lamotrigine,auranofin,药效减弱,Lamotrigine may decrease the excretion rate of Auranofin which could result in a higher serum level.
lamotrigine,doripenem,药效减弱,Lamotrigine may decrease the excretion rate of Doripenem which could result in a higher serum level.
lamotrigine,flupirtine,药效减弱,Lamotrigine may decrease the excretion rate of Flupirtine which could result in a higher serum level.
lamotrigine,pralatrexate,药效减弱,Lamotrigine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.
lamotrigine,trametinib,药效减弱,Lamotrigine may decrease the excretion rate of Trametinib which could result in a higher serum level.
lamotrigine,prednisone,药效减弱,Lamotrigine may decrease the excretion rate of Prednisone which could result in a higher serum level.
lamotrigine,enzalutamide,药效减弱,Lamotrigine may decrease the excretion rate of Enzalutamide which could result in a higher serum level.
lamotrigine,sofosbuvir,药效减弱,Lamotrigine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.
lamotrigine,ARN-509,药效减弱,Lamotrigine may decrease the excretion rate of Apalutamide which could result in a higher serum level.
lamotrigine,tobramycin,药效减弱,Lamotrigine may decrease the excretion rate of Tobramycin which could result in a higher serum level.
lamotrigine,neomycin sulphate,药效减弱,Lamotrigine may decrease the excretion rate of Neomycin which could result in a higher serum level.
lamotrigine,streptomycin,药效减弱,Lamotrigine may decrease the excretion rate of Streptomycin which could result in a higher serum level.
lamotrigine,kanamycin,药效减弱,Lamotrigine may decrease the excretion rate of Kanamycin which could result in a higher serum level.
lamotrigine,isepamicin,药效减弱,Lamotrigine may decrease the excretion rate of Isepamicin which could result in a higher serum level.
lamotrigine,diiminoplatinum;glycolic acid,药效减弱,Lamotrigine may decrease the excretion rate of Nedaplatin which could result in a higher serum level.
lamotrigine,indapamide,药效增强,The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Indapamide.
lamotrigine,dichlorphenamide,药效增强,Diclofenamide may increase the excretion rate of Lamotrigine which could result in a lower serum level and potentially a reduction in efficacy.
lamotrigine,pazopanib,药效减弱,The metabolism of Lamotrigine can be decreased when combined with Pazopanib.
lamotrigine,dacomitinib,药效减弱,The metabolism of Lamotrigine can be decreased when combined with Dacomitinib.
lamotrigine,etoposide,药效增强,The metabolism of Etoposide can be increased when combined with Lamotrigine.
lamotrigine,belinostat,药效增强,The metabolism of Belinostat can be increased when combined with Lamotrigine.
lamotrigine,binimetinib,药效增强,The metabolism of Binimetinib can be increased when combined with Lamotrigine.
lamotrigine,disulfiram,药效减弱,The therapeutic efficacy of Lamotrigine can be decreased when used in combination with Disulfiram.
lamotrigine,imipenem,药效减弱,The therapeutic efficacy of Lamotrigine can be decreased when used in combination with Imipenem.
lamotrigine,amphotericin B,药效减弱,The therapeutic efficacy of Lamotrigine can be decreased when used in combination with Amphotericin B.
lamotrigine,linezolid,药效减弱,The therapeutic efficacy of Lamotrigine can be decreased when used in combination with Linezolid.
lamotrigine,cyproterone acetate,药效增强,The metabolism of Cyproterone acetate can be increased when combined with Lamotrigine.
lamotrigine,proparacaine,药效增强,The risk or severity of methemoglobinemia can be increased when Lamotrigine is combined with Proparacaine.
tigecycline,cyproterone acetate,药效减弱,The serum concentration of Cyproterone acetate can be decreased when it is combined with Tigecycline.
tigecycline,tobramycin,药效增强,The risk or severity of neuromuscular blockade can be increased when Tigecycline is combined with Tobramycin.
tigecycline,neomycin sulphate,药效增强,The risk or severity of neuromuscular blockade can be increased when Tigecycline is combined with Neomycin.
tigecycline,streptomycin,药效增强,The risk or severity of neuromuscular blockade can be increased when Tigecycline is combined with Streptomycin.
tigecycline,kanamycin,药效增强,The risk or severity of neuromuscular blockade can be increased when Tigecycline is combined with Kanamycin.
tigecycline,NSC756696,药效增强,The risk or severity of neuromuscular blockade can be increased when Tigecycline is combined with Clindamycin.
tigecycline,lincomycin,药效增强,The risk or severity of neuromuscular blockade can be increased when Tigecycline is combined with Lincomycin.
tigecycline,isepamicin,药效增强,The risk or severity of neuromuscular blockade can be increased when Tigecycline is combined with Isepamicin.
tigecycline,methotrexate,药效减弱,Tigecycline can cause a decrease in the absorption of Methotrexate resulting in a reduced serum concentration and potentially a decrease in efficacy.
tigecycline,proparacaine,药效增强,The risk or severity of methemoglobinemia can be increased when Tigecycline is combined with Proparacaine.
methotrexate,linezolid,药效增强,The risk or severity of adverse effects can be increased when Methotrexate is combined with Linezolid.
methotrexate,mycophenolate mofetil,药效增强,The risk or severity of adverse effects can be increased when Methotrexate is combined with Mycophenolate mofetil.
methotrexate,D-penicillamine,药效增强,The risk or severity of adverse effects can be increased when Methotrexate is combined with Penicillamine.
methotrexate,ArAAC,药效增强,The risk or severity of adverse effects can be increased when Methotrexate is combined with Azacitidine.
methotrexate,Lyovac Cosmegen,药效增强,The risk or severity of adverse effects can be increased when Methotrexate is combined with Dactinomycin.
methotrexate,hydroxyurea,药效增强,The risk or severity of adverse effects can be increased when Methotrexate is combined with Hydroxyurea.
methotrexate,melphalan,药效增强,The risk or severity of adverse effects can be increased when Methotrexate is combined with Melphalan.
methotrexate,5-aza-2'-deoxycytidine,药效增强,The risk or severity of adverse effects can be increased when Methotrexate is combined with Decitabine.
methotrexate,belinostat,药效增强,The risk or severity of adverse effects can be increased when Methotrexate is combined with Belinostat.
methotrexate,panobinostat,药效增强,The risk or severity of adverse effects can be increased when Methotrexate is combined with Panobinostat.
methotrexate,pralatrexate,药效增强,The risk or severity of adverse effects can be increased when Methotrexate is combined with Pralatrexate.
methotrexate,carfilzomib,药效增强,The risk or severity of adverse effects can be increased when Methotrexate is combined with Carfilzomib.
methotrexate,ponatinib,药效增强,The risk or severity of adverse effects can be increased when Methotrexate is combined with Ponatinib.
methotrexate,everolimus,药效增强,The risk or severity of adverse effects can be increased when Methotrexate is combined with Everolimus.
methotrexate,temsirolimus,药效增强,The risk or severity of adverse effects can be increased when Methotrexate is combined with Temsirolimus.
methotrexate,ibrutinib,药效增强,The risk or severity of adverse effects can be increased when Methotrexate is combined with Ibrutinib.
methotrexate,prednisone,药效增强,The risk or severity of adverse effects can be increased when Methotrexate is combined with Prednisone.
methotrexate,sunitinib malate,药效增强,The risk or severity of adverse effects can be increased when Methotrexate is combined with Sunitinib.
methotrexate,etoposide,药效增强,The risk or severity of adverse effects can be increased when Methotrexate is combined with Etoposide.
methotrexate,etodolac,药效增强,The serum concentration of Methotrexate can be increased when it is combined with Etodolac.
methotrexate,taxifolin,药效增强,The serum concentration of Methotrexate can be increased when it is combined with Taxifolin.
methotrexate,indapamide,药效增强,The protein binding of Methotrexate can be increased when combined with Indapamide.
methotrexate,dichlorphenamide,药效增强,The protein binding of Methotrexate can be increased when combined with Diclofenamide.
methotrexate,sulfaphenazole,药效增强,The protein binding of Methotrexate can be increased when combined with Sulfaphenazole.
methotrexate,Supramid,药效增强,The protein binding of Methotrexate can be increased when combined with Sulfameter.
methotrexate,ataluren,药效减弱,The excretion of Methotrexate can be decreased when combined with Ataluren.
methotrexate,doripenem,药效减弱,The excretion of Doripenem can be decreased when combined with Methotrexate.
methotrexate,favipiravir,药效减弱,The excretion of Methotrexate can be decreased when combined with Favipiravir.
methotrexate,lenvatinib,药效减弱,The excretion of Methotrexate can be decreased when combined with Lenvatinib.
methotrexate,crizotinib,药效减弱,The metabolism of Methotrexate can be decreased when combined with Crizotinib.
methotrexate,proscillaridin A,药效减弱,Proscillaridin may decrease the cardiotoxic activities of Methotrexate.
methotrexate,bacitracin A,药效增强,The risk or severity of nephrotoxicity can be increased when Methotrexate is combined with Bacitracin.
methotrexate,amphotericin B,药效增强,The risk or severity of nephrotoxicity can be increased when Methotrexate is combined with Amphotericin B.
methotrexate,levetiracetam,药效减弱,Levetiracetam may decrease the excretion rate of Methotrexate which could result in a higher serum level.
methotrexate,fedratinib,药效增强,The serum concentration of Methotrexate can be increased when it is combined with Fedratinib.
methotrexate,istradefylline,药效减弱,Istradefylline may decrease the excretion rate of Methotrexate which could result in a higher serum level.
methotrexate,quercetin,药效减弱,Quercetin may decrease the excretion rate of Methotrexate which could result in a higher serum level.
methotrexate,elacridar,药效减弱,Elacridar may decrease the excretion rate of Methotrexate which could result in a higher serum level.
methotrexate,alendronate,药效增强,The risk or severity of nephrotoxicity and hypocalcemia can be increased when Methotrexate is combined with Alendronic acid.
methotrexate,N-acetylcysteine,药效减弱,The excretion of Methotrexate can be decreased when combined with Acetylcysteine.
methotrexate,dipyridamole,药效增强,The risk or severity of bleeding can be increased when Dipyridamole is combined with Methotrexate.
methotrexate,perindopril,药效减弱,Methotrexate may decrease the excretion rate of Perindopril which could result in a higher serum level.
methotrexate,auranofin,药效减弱,Methotrexate may decrease the excretion rate of Auranofin which could result in a higher serum level.
methotrexate,sibutramine,药效减弱,Methotrexate may decrease the excretion rate of Sibutramine which could result in a higher serum level.
methotrexate,flupirtine,药效减弱,Methotrexate may decrease the excretion rate of Flupirtine which could result in a higher serum level.
methotrexate,sofosbuvir,药效减弱,Methotrexate may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.
methotrexate,tadalafil,药效减弱,Methotrexate may decrease the excretion rate of Tadalafil which could result in a higher serum level.
methotrexate,trametinib,药效减弱,Methotrexate may decrease the excretion rate of Trametinib which could result in a higher serum level.
methotrexate,diiminoplatinum;glycolic acid,药效减弱,Methotrexate may decrease the excretion rate of Nedaplatin which could result in a higher serum level.
methotrexate,tobramycin,药效减弱,Methotrexate may decrease the excretion rate of Tobramycin which could result in a higher serum level.
methotrexate,streptomycin,药效减弱,Methotrexate may decrease the excretion rate of Streptomycin which could result in a higher serum level.
methotrexate,kanamycin,药效减弱,Methotrexate may decrease the excretion rate of Kanamycin which could result in a higher serum level.
methotrexate,isepamicin,药效减弱,Methotrexate may decrease the excretion rate of Isepamicin which could result in a higher serum level.
methotrexate,theobromine,药效增强,Theobromine may increase the excretion rate of Methotrexate which could result in a lower serum level and potentially a reduction in efficacy.
methotrexate,enalapril,药效减弱,The excretion of Methotrexate can be decreased when combined with Enalapril.
methotrexate,norfloxacin,药效增强,"The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Methotrexate is combined with Norfloxacin."
methotrexate,methylprednisolone,药效增强,The metabolism of Methotrexate can be increased when combined with Methylprednisolone.
methotrexate,triamcinolone acetonide,药效增强,The metabolism of Methotrexate can be increased when combined with Triamcinolone.
methotrexate,cortisone acetate,药效增强,The metabolism of Methotrexate can be increased when combined with Cortisone acetate.
methotrexate,meprednisone,药效增强,The metabolism of Methotrexate can be increased when combined with Meprednisone.
methotrexate,deflazacort,药效增强,The metabolism of Methotrexate can be increased when combined with Deflazacort.
methotrexate,mometasone furoate,药效增强,The metabolism of Methotrexate can be increased when combined with Mometasone furoate.
methotrexate,clobetasol propionate,药效增强,The metabolism of Methotrexate can be increased when combined with Clobetasol propionate.
methotrexate,fluocinonide,药效增强,The metabolism of Methotrexate can be increased when combined with Fluocinonide.
methotrexate,dabrafenib,药效减弱,The serum concentration of Methotrexate can be decreased when it is combined with Dabrafenib.
methotrexate,venetoclax,药效减弱,The metabolism of Methotrexate can be decreased when combined with Venetoclax.
methotrexate,pazopanib,药效减弱,The metabolism of Methotrexate can be decreased when combined with Pazopanib.
methotrexate,roxithromycin,药效减弱,The metabolism of Methotrexate can be decreased when combined with Roxithromycin.
methotrexate,cyproterone acetate,药效减弱,The metabolism of Methotrexate can be decreased when combined with Cyproterone acetate.
methotrexate,ceritinib,药效减弱,The metabolism of Methotrexate can be decreased when combined with Ceritinib.
methotrexate,vinblastine sulfate,药效增强,The metabolism of Methotrexate can be increased when combined with Vinblastine.
methotrexate,fluticasone propionate,药效增强,The serum concentration of Methotrexate can be increased when it is combined with Fluticasone propionate.
methotrexate,doxorubicin hydrochloride,药效增强,The serum concentration of Methotrexate can be increased when it is combined with Doxorubicin.
methotrexate,7-ethyl-10-hydroxycamptothecin,药效增强,The serum concentration of Methotrexate can be increased when it is combined with 7-ethyl-10-hydroxycamptothecin.
methotrexate,ridaforolimus,药效增强,The serum concentration of Methotrexate can be increased when it is combined with Ridaforolimus.
methotrexate,lestaurtinib,药效增强,The serum concentration of Methotrexate can be increased when it is combined with Lestaurtinib.
methotrexate,dacomitinib,药效减弱,The metabolism of Methotrexate can be decreased when combined with Dacomitinib.
methotrexate,cobimetinib,药效减弱,The metabolism of Methotrexate can be decreased when combined with Cobimetinib.
methotrexate,NVP-BGJ398,药效减弱,The metabolism of Methotrexate can be decreased when combined with Infigratinib.
methotrexate,dabigatran,药效减弱,The excretion of Methotrexate can be decreased when combined with Dabigatran.
methotrexate,aspirin,药效增强,The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Methotrexate.
methotrexate,neomycin sulphate,药效减弱,The serum concentration of Methotrexate can be decreased when it is combined with Neomycin.
methotrexate,INCB28060,药效增强,The serum concentration of Methotrexate can be increased when it is combined with Capmatinib.
methotrexate,febuxostat,药效减弱,The excretion of Methotrexate can be decreased when combined with Febuxostat.
methotrexate,telithromycin,药效减弱,The metabolism of Methotrexate can be decreased when combined with Telithromycin.
methotrexate,clarithromycin,药效减弱,The metabolism of Methotrexate can be decreased when combined with Clarithromycin.
methotrexate,lonafarnib,药效减弱,The metabolism of Methotrexate can be decreased when combined with Lonafarnib.
methotrexate,dexamethasone,药效增强,The metabolism of Methotrexate can be increased when combined with Dexamethasone.
methotrexate,ARN-509,药效减弱,The serum concentration of Methotrexate can be decreased when it is combined with Apalutamide.
methotrexate,enzalutamide,药效减弱,The serum concentration of Methotrexate can be decreased when it is combined with Enzalutamide.
methotrexate,lumacaftor,药效减弱,The serum concentration of Methotrexate can be decreased when it is combined with Lumacaftor.
methotrexate,proparacaine,药效增强,The risk or severity of methemoglobinemia can be increased when Methotrexate is combined with Proparacaine.
vinblastine sulfate,linezolid,药效增强,The risk or severity of adverse effects can be increased when Vinblastine is combined with Linezolid.
vinblastine sulfate,prednisone,药效增强,The risk or severity of adverse effects can be increased when Vinblastine is combined with Prednisone.
vinblastine sulfate,mycophenolate mofetil,药效增强,The risk or severity of adverse effects can be increased when Vinblastine is combined with Mycophenolate mofetil.
vinblastine sulfate,D-penicillamine,药效增强,The risk or severity of adverse effects can be increased when Vinblastine is combined with Penicillamine.
vinblastine sulfate,ArAAC,药效增强,The risk or severity of adverse effects can be increased when Vinblastine is combined with Azacitidine.
vinblastine sulfate,Lyovac Cosmegen,药效增强,The risk or severity of adverse effects can be increased when Vinblastine is combined with Dactinomycin.
vinblastine sulfate,hydroxyurea,药效增强,The risk or severity of adverse effects can be increased when Vinblastine is combined with Hydroxyurea.
vinblastine sulfate,melphalan,药效增强,The risk or severity of adverse effects can be increased when Vinblastine is combined with Melphalan.
vinblastine sulfate,5-aza-2'-deoxycytidine,药效增强,The risk or severity of adverse effects can be increased when Vinblastine is combined with Decitabine.
vinblastine sulfate,pralatrexate,药效增强,The risk or severity of adverse effects can be increased when Vinblastine is combined with Pralatrexate.
vinblastine sulfate,belinostat,药效增强,The risk or severity of adverse effects can be increased when Vinblastine is combined with Belinostat.
vinblastine sulfate,aripiprazole,药效增强,The metabolism of Aripiprazole can be increased when combined with Vinblastine.
vinblastine sulfate,ibrutinib,药效减弱,The metabolism of Ibrutinib can be decreased when combined with Vinblastine.
vinblastine sulfate,crizotinib,药效减弱,The metabolism of Vinblastine can be decreased when combined with Crizotinib.
vinblastine sulfate,lumacaftor,药效减弱,The serum concentration of Vinblastine can be decreased when it is combined with Lumacaftor.
vinblastine sulfate,proscillaridin A,药效减弱,Proscillaridin may decrease the cardiotoxic activities of Vinblastine.
vinblastine sulfate,aspirin,药效增强,The risk or severity of bleeding can be increased when Acetylsalicylic acid is combined with Vinblastine.
vinblastine sulfate,ARN-509,药效减弱,The serum concentration of Vinblastine can be decreased when it is combined with Apalutamide.
vinblastine sulfate,enalapril,药效减弱,The excretion of Enalapril can be decreased when combined with Vinblastine.
vinblastine sulfate,UDCA,药效减弱,Ursodeoxycholic acid may decrease the excretion rate of Vinblastine which could result in a higher serum level.
vinblastine sulfate,lenvatinib,药效减弱,Lenvatinib may decrease the excretion rate of Vinblastine which could result in a higher serum level.
vinblastine sulfate,disulfiram,药效减弱,Vinblastine may decrease the excretion rate of Disulfiram which could result in a higher serum level.
vinblastine sulfate,dipyridamole,药效减弱,Vinblastine may decrease the excretion rate of Dipyridamole which could result in a higher serum level.
vinblastine sulfate,carfilzomib,药效增强,The serum concentration of Vinblastine can be increased when it is combined with Carfilzomib.
vinblastine sulfate,ponatinib,药效增强,The serum concentration of Vinblastine can be increased when it is combined with Ponatinib.
vinblastine sulfate,dacomitinib,药效增强,The serum concentration of Vinblastine can be increased when it is combined with Dacomitinib.
vinblastine sulfate,carvedilol,药效增强,The serum concentration of Vinblastine can be increased when it is combined with Carvedilol.
vinblastine sulfate,elacridar,药效增强,The serum concentration of Vinblastine can be increased when it is combined with Elacridar.
vinblastine sulfate,tariquidar,药效增强,The serum concentration of Vinblastine can be increased when it is combined with Tariquidar.
vinblastine sulfate,fedratinib,药效增强,The serum concentration of Vinblastine can be increased when it is combined with Fedratinib.
vinblastine sulfate,istradefylline,药效增强,The serum concentration of Vinblastine can be increased when it is combined with Istradefylline.
vinblastine sulfate,favipiravir,药效增强,The serum concentration of Vinblastine can be increased when it is combined with Favipiravir.
vinblastine sulfate,triamcinolone acetonide,药效增强,The metabolism of Vinblastine can be increased when combined with Triamcinolone.
vinblastine sulfate,etoposide,药效增强,The metabolism of Etoposide can be increased when combined with Vinblastine.
vinblastine sulfate,methylprednisolone,药效增强,The metabolism of Vinblastine can be increased when combined with Methylprednisolone.
vinblastine sulfate,cortisone acetate,药效增强,The metabolism of Vinblastine can be increased when combined with Cortisone acetate.
vinblastine sulfate,panobinostat,药效增强,The metabolism of Panobinostat can be increased when combined with Vinblastine.
vinblastine sulfate,meprednisone,药效增强,The metabolism of Vinblastine can be increased when combined with Meprednisone.
