node1,node2,combined_score
Cellular tumor antigen p53,Prostaglandin G/H synthase 2,0.974
Cellular tumor antigen p53,Histone deacetylase 2,0.99
Cellular tumor antigen p53,Estrogen receptor,0.992
Cellular tumor antigen p53,Transcription factor Sp1,0.994
Cellular tumor antigen p53,RAC-alpha serine/threonine-protein kinase,0.994
Cellular tumor antigen p53,Heat shock protein HSP 90-beta,0.995
Cellular tumor antigen p53,Serine/threonine-protein kinase Chk1,0.997
Cellular tumor antigen p53,DNA-dependent protein kinase catalytic subunit,0.997
Cellular tumor antigen p53,Hypoxia-inducible factor 1-alpha,0.999
Cellular tumor antigen p53,Histone deacetylase 1,0.999
Cellular tumor antigen p53,Heat shock protein HSP 90-alpha,0.999
Cellular tumor antigen p53,DNA repair protein RAD51 homolog 1,0.999
Centromere-associated protein E,Serine/threonine-protein kinase Chk1,0.757
Centromere-associated protein E,Inner centromere protein,0.811
Centromere-associated protein E,DNA topoisomerase 2-alpha,0.926
Centromere-associated protein E,Cyclin-dependent kinase 1,0.973
Coagulation factor IX,Vitamin K-dependent protein C,0.72
Coagulation factor IX,Vitamin K epoxide reductase complex subunit 1,0.748
Coagulation factor IX,Prothrombin,0.932
Coagulation factor IX,Vitamin K-dependent gamma-carboxylase,0.972
Collagenase 3,Serine protease 1,0.765
Collagenase 3,Plasminogen,0.913
Cyclin-dependent kinase 1,E3 ubiquitin-protein ligase Mdm2,0.829
Cyclin-dependent kinase 1,Cyclin-dependent kinase 2,0.994
Cyclin-dependent kinase 1,Epidermal growth factor receptor,0.849
Cyclin-dependent kinase 1,Gap junction alpha-1 protein,0.922
Cyclin-dependent kinase 1,Ribonucleoside-diphosphate reductase large subunit,0.777
Cyclin-dependent kinase 1,Dual specificity mitogen-activated protein kinase kinase 1,0.837
Cyclin-dependent kinase 1,Thymidylate synthase,0.846
Cyclin-dependent kinase 1,Heat shock protein HSP 90-alpha,0.91
Cyclin-dependent kinase 1,Heat shock protein HSP 90-beta,0.809
Cyclin-dependent kinase 1,Histone deacetylase 1,0.84
Cyclin-dependent kinase 1,Inner centromere protein,0.947
Cyclin-dependent kinase 1,Hypoxia-inducible factor 1-alpha,0.793
Cyclin-dependent kinase 1,DNA repair protein RAD51 homolog 1,0.837
Cyclin-dependent kinase 1,Ubiquitin-conjugating enzyme E2 T,0.844
Cyclin-dependent kinase 1,Tyrosine-protein kinase Lyn,0.889
Cyclin-dependent kinase 1,Serine/threonine-protein kinase Chk1,0.911
Cyclin-dependent kinase 1,DNA topoisomerase 2-alpha,0.997
Cyclin-dependent kinase 2,E3 ubiquitin-protein ligase Mdm2,0.849
Cyclin-dependent kinase 2,Poly [ADP-ribose] polymerase 1,0.705
Cyclin-dependent kinase 2,Estrogen receptor,0.714
Cyclin-dependent kinase 2,Heat shock protein HSP 90-beta,0.739
Cyclin-dependent kinase 2,Hypoxia-inducible factor 1-alpha,0.773
Cyclin-dependent kinase 2,Heat shock protein HSP 90-alpha,0.799
Cyclin-dependent kinase 2,DNA topoisomerase 2-alpha,0.801
Cyclin-dependent kinase 2,DNA repair protein RAD51 homolog 1,0.822
Cyclin-dependent kinase 2,Progesterone receptor,0.822
Cyclin-dependent kinase 2,DNA polymerase catalytic subunit,0.842
Cyclin-dependent kinase 2,Serine/threonine-protein kinase Chk1,0.869
Cytochrome P450 1A1,Sulfotransferase 2B1,0.926
Cytochrome P450 1A1,Cytochrome P450 2C9,0.964
Cytochrome P450 1A1,NAD(P)H dehydrogenase [quinone] 1,0.746
Cytochrome P450 1A1,Nuclear receptor subfamily 1 group I member 2,0.742
Cytochrome P450 1A1,Retinoic acid receptor RXR-alpha,0.714
Cytochrome P450 1A1,Estrogen receptor,0.785
Cytochrome P450 1A1,Cytochrome P450 1B1,0.937
Cytochrome P450 1A1,Glutathione S-transferase P,0.974
Cytochrome P450 1A1,Cytochrome P450 3A4,0.987
Cytochrome P450 1B1,NAD(P)H dehydrogenase [quinone] 1,0.797
Cytochrome P450 1B1,Glutathione S-transferase P,0.973
Cytochrome P450 1B1,Cytochrome P450 3A4,0.706
Cytochrome P450 2C9,Vitamin K-dependent gamma-carboxylase,0.908
Cytochrome P450 2C9,Solute carrier organic anion transporter family member 1B1,0.922
Cytochrome P450 2C9,Nuclear receptor subfamily 1 group I member 2,0.85
Cytochrome P450 2C9,Prostaglandin G/H synthase 2,0.936
Cytochrome P450 2C9,Prostaglandin G/H synthase 1,0.936
Cytochrome P450 2C9,Glutathione S-transferase P,0.951
Cytochrome P450 2C9,Vitamin K epoxide reductase complex subunit 1,0.98
Cytochrome P450 2C9,Cytochrome P450 3A4,0.98
Cytochrome P450 3A4,Sulfotransferase 2B1,0.923
Cytochrome P450 3A4,Solute carrier organic anion transporter family member 1B1,0.932
Cytochrome P450 3A4,Solute carrier organic anion transporter family member 1B3,0.749
Cytochrome P450 3A4,Nuclear receptor subfamily 1 group I member 2,0.962
Cytochrome P450 3A4,Glutathione S-transferase P,0.976
Cytosolic phospholipase A2,Mitogen-activated protein kinase 1,0.903
Cytosolic phospholipase A2,Prostaglandin G/H synthase 1,0.714
D(1A) dopamine receptor,Sodium-dependent serotonin transporter,0.763
D(1A) dopamine receptor,Sodium-dependent dopamine transporter,0.906
D(1A) dopamine receptor,D(1B) dopamine receptor,0.818
D(1A) dopamine receptor,"Glutamate receptor ionotropic, NMDA 2A",0.772
D(1A) dopamine receptor,Histamine H3 receptor,0.782
D(1A) dopamine receptor,Neuronal acetylcholine receptor subunit alpha-4,0.709
D(1A) dopamine receptor,D(3) dopamine receptor,0.801
D(1A) dopamine receptor,Glutamate receptor 1,0.74
D(1B) dopamine receptor,Sodium-dependent dopamine transporter,0.84
D(2) dopamine receptor,D(4) dopamine receptor,0.816
D(2) dopamine receptor,Sodium-dependent serotonin transporter,0.91
D(2) dopamine receptor,Sodium-dependent dopamine transporter,0.999
D(2) dopamine receptor,Histamine H3 receptor,0.707
D(2) dopamine receptor,Dopamine beta-hydroxylase,0.748
D(3) dopamine receptor,D(4) dopamine receptor,0.943
D(3) dopamine receptor,Sodium-dependent serotonin transporter,0.787
D(3) dopamine receptor,Sodium-dependent dopamine transporter,0.784
D(4) dopamine receptor,Neuronal acetylcholine receptor subunit alpha-4,0.732
D(4) dopamine receptor,Dopamine beta-hydroxylase,0.784
D(4) dopamine receptor,Sodium-dependent dopamine transporter,0.96
D(4) dopamine receptor,Sodium-dependent serotonin transporter,0.978
DNA (cytosine-5)-methyltransferase 3B,Histone deacetylase 4,0.702
DNA (cytosine-5)-methyltransferase 3B,Histone deacetylase,0.738
DNA (cytosine-5)-methyltransferase 3B,Estrogen receptor,0.783
DNA (cytosine-5)-methyltransferase 3B,Histone deacetylase 2,0.994
DNA (cytosine-5)-methyltransferase 3B,Histone deacetylase 1,0.999
DNA ligase 1,Poly [ADP-ribose] polymerase 1,0.703
DNA ligase 1,DNA-dependent protein kinase catalytic subunit,0.718
DNA ligase 1,DNA polymerase catalytic subunit,0.761
DNA ligase 1,DNA ligase 3,0.785
DNA ligase 1,Serine/threonine-protein kinase Chk1,0.794
DNA ligase 1,DNA repair protein RAD51 homolog 1,0.824
DNA ligase 3,Poly [ADP-ribose] polymerase 2,0.991
DNA ligase 3,DNA-dependent protein kinase catalytic subunit,0.814
DNA ligase 3,DNA topoisomerase 1,0.811
DNA ligase 3,Poly [ADP-ribose] polymerase 1,0.99
DNA polymerase catalytic subunit,Ribonucleoside-diphosphate reductase large subunit,0.836
DNA polymerase catalytic subunit,DNA repair protein RAD51 homolog 1,0.787
DNA repair protein RAD51 homolog 1,DNA-dependent protein kinase catalytic subunit,0.823
DNA repair protein RAD51 homolog 1,Thymidylate synthase,0.753
DNA repair protein RAD51 homolog 1,Poly [ADP-ribose] polymerase 1,0.86
DNA repair protein RAD51 homolog 1,Tyrosine-protein kinase ABL1,0.915
DNA repair protein RAD51 homolog 1,Serine/threonine-protein kinase Chk1,0.998
DNA repair protein RAD51 homolog 1,DNA topoisomerase 2-alpha,0.799
DNA repair protein RAD51 homolog 1,Ubiquitin-conjugating enzyme E2 T,0.728
DNA topoisomerase 1,DNA topoisomerase 2,0.981
DNA topoisomerase 1,DNA-dependent protein kinase catalytic subunit,0.866
DNA topoisomerase 1,Serine/threonine-protein kinase Chk1,0.743
DNA topoisomerase 1,Poly [ADP-ribose] polymerase 1,0.936
DNA topoisomerase 1,DNA topoisomerase 2-alpha,0.994
DNA topoisomerase 2,Poly [ADP-ribose] polymerase 1,0.724
DNA topoisomerase 2,DNA topoisomerase 2-alpha,0.973
DNA topoisomerase 2-alpha,Ribonucleoside-diphosphate reductase large subunit,0.882
DNA topoisomerase 2-alpha,DNA-dependent protein kinase catalytic subunit,0.793
DNA topoisomerase 2-alpha,Thymidylate synthase,0.96
DNA topoisomerase 2-alpha,Poly [ADP-ribose] polymerase 1,0.742
DNA topoisomerase 2-alpha,Histone deacetylase 1,0.809
DNA topoisomerase 2-alpha,Serine/threonine-protein kinase Chk1,0.889
DNA-dependent protein kinase catalytic subunit,Epidermal growth factor receptor,0.936
DNA-dependent protein kinase catalytic subunit,Estrogen receptor,0.717
DNA-dependent protein kinase catalytic subunit,Heat shock protein HSP 90-beta,0.73
DNA-dependent protein kinase catalytic subunit,Heat shock protein HSP 90-alpha,0.733
DNA-dependent protein kinase catalytic subunit,RAC-gamma serine/threonine-protein kinase,0.745
DNA-dependent protein kinase catalytic subunit,Tyrosine-protein kinase Lyn,0.745
DNA-dependent protein kinase catalytic subunit,Hypoxia-inducible factor 1-alpha,0.796
DNA-dependent protein kinase catalytic subunit,Tyrosine-protein kinase ABL1,0.802
DNA-dependent protein kinase catalytic subunit,RuvB-like 2,0.831
DNA-dependent protein kinase catalytic subunit,RAC-alpha serine/threonine-protein kinase,0.889
DNA-dependent protein kinase catalytic subunit,Serine/threonine-protein kinase Chk1,0.928
DNA-dependent protein kinase catalytic subunit,Poly [ADP-ribose] polymerase 1,0.993
Delta-type opioid receptor,Mu-type opioid receptor,0.967
Dihydrofolate reductase,Dihydroorotate dehydrogenase (quinone),0.91
Dihydrofolate reductase,Thymidylate synthase,0.999
Dihydrofolate reductase,"Folylpolyglutamate synthase, mitochondrial",0.995
Dihydroorotase,Dihydroorotate dehydrogenase (quinone),0.994
Dihydroorotase,Orotate phosphoribosyltransferase,0.946
Dihydroorotase,Dihydropyrimidine dehydrogenase [NADP(+)],0.84
Dihydroorotate dehydrogenase (quinone),Inosine-5'-monophosphate dehydrogenase 2,0.72
Dihydroorotate dehydrogenase (quinone),Orotate phosphoribosyltransferase,0.999
Dihydropyrimidine dehydrogenase [NADP(+)],Orotate phosphoribosyltransferase,0.999
Dihydropyrimidine dehydrogenase [NADP(+)],Thymidylate synthase,0.979
Disintegrin and metalloproteinase domain-containing protein 17,Presenilin-1,0.712
Dopamine beta-hydroxylase,Sodium-dependent dopamine transporter,0.815
"Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A","cGMP-specific 3',5'-cyclic phosphodiesterase",0.725
Dual specificity mitogen-activated protein kinase kinase 1,Mitogen-activated protein kinase 1,0.999
Dual specificity mitogen-activated protein kinase kinase 1,Dual specificity mitogen-activated protein kinase kinase 2,0.996
Dual specificity mitogen-activated protein kinase kinase 1,Peroxisome proliferator-activated receptor gamma,0.813
Dual specificity mitogen-activated protein kinase kinase 1,Tyrosine-protein kinase JAK2,0.757
Dual specificity mitogen-activated protein kinase kinase 1,Heat shock protein HSP 90-beta,0.761
Dual specificity mitogen-activated protein kinase kinase 1,Proto-oncogene tyrosine-protein kinase Src,0.794
Dual specificity mitogen-activated protein kinase kinase 1,Heat shock protein HSP 90-alpha,0.798
Dual specificity mitogen-activated protein kinase kinase 1,GTPase HRas,0.989
Dual specificity mitogen-activated protein kinase kinase 1,Mitogen-activated protein kinase kinase kinase 1,0.989
Dual specificity mitogen-activated protein kinase kinase 1,Serine/threonine-protein kinase B-raf,0.999
Dual specificity mitogen-activated protein kinase kinase 2,Mitogen-activated protein kinase 1,0.999
Dual specificity mitogen-activated protein kinase kinase 2,Proto-oncogene tyrosine-protein kinase Src,0.716
Dual specificity mitogen-activated protein kinase kinase 2,GTPase HRas,0.968
Dual specificity mitogen-activated protein kinase kinase 2,Mitogen-activated protein kinase kinase kinase 1,0.971
Dual specificity mitogen-activated protein kinase kinase 2,Serine/threonine-protein kinase B-raf,0.998
E-selectin,Vascular cell adhesion protein 1,0.979
E3 ubiquitin-protein ligase Mdm2,Ribonucleoside-diphosphate reductase subunit M2,0.75
E3 ubiquitin-protein ligase Mdm2,Platelet-derived growth factor receptor alpha,0.843
E3 ubiquitin-protein ligase Mdm2,Histone deacetylase 6,0.701
E3 ubiquitin-protein ligase Mdm2,Signal transducer and activator of transcription 3,0.715
E3 ubiquitin-protein ligase Mdm2,Fibroblast growth factor receptor 4,0.747
E3 ubiquitin-protein ligase Mdm2,Heat shock protein HSP 90-beta,0.753
E3 ubiquitin-protein ligase Mdm2,Telomerase reverse transcriptase,0.797
E3 ubiquitin-protein ligase Mdm2,Transcription factor Sp1,0.799
E3 ubiquitin-protein ligase Mdm2,Fibroblast growth factor receptor 3,0.799
E3 ubiquitin-protein ligase Mdm2,Fibroblast growth factor receptor 2,0.867
E3 ubiquitin-protein ligase Mdm2,Proto-oncogene tyrosine-protein kinase Src,0.882
E3 ubiquitin-protein ligase Mdm2,Tyrosine-protein kinase ABL1,0.896
E3 ubiquitin-protein ligase Mdm2,Epidermal growth factor receptor,0.897
E3 ubiquitin-protein ligase Mdm2,Heat shock protein HSP 90-alpha,0.909
E3 ubiquitin-protein ligase Mdm2,Estrogen receptor,0.946
E3 ubiquitin-protein ligase Mdm2,Histone deacetylase 1,0.963
E3 ubiquitin-protein ligase Mdm2,RAC-gamma serine/threonine-protein kinase,0.966
E3 ubiquitin-protein ligase Mdm2,Insulin-like growth factor 1 receptor,0.981
E3 ubiquitin-protein ligase Mdm2,Hypoxia-inducible factor 1-alpha,0.988
E3 ubiquitin-protein ligase Mdm2,RAC-alpha serine/threonine-protein kinase,0.999
Epidermal growth factor receptor,Glucocorticoid receptor,0.87
Epidermal growth factor receptor,Platelet-derived growth factor receptor alpha,0.986
Epidermal growth factor receptor,Platelet-derived growth factor receptor beta,0.998
Epidermal growth factor receptor,Vascular endothelial growth factor receptor 2,0.805
Epidermal growth factor receptor,Signal transducer and activator of transcription 3,0.998
Epidermal growth factor receptor,Receptor tyrosine-protein kinase erbB-2,0.999
Epidermal growth factor receptor,Tyrosine-protein kinase ITK/TSK,0.706
Epidermal growth factor receptor,Glutathione S-transferase P,0.713
Epidermal growth factor receptor,Thioredoxin,0.742
Epidermal growth factor receptor,Insulin receptor,0.747
Epidermal growth factor receptor,Tyrosine-protein kinase Lck,0.748
Epidermal growth factor receptor,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",0.748
Epidermal growth factor receptor,Poly [ADP-ribose] polymerase 1,0.751
Epidermal growth factor receptor,Estrogen receptor beta,0.755
Epidermal growth factor receptor,Histone deacetylase 1,0.765
Epidermal growth factor receptor,RAC-alpha serine/threonine-protein kinase,0.792
Epidermal growth factor receptor,Tyrosine-protein kinase HCK,0.795
Epidermal growth factor receptor,Macrophage-stimulating protein receptor,0.795
Epidermal growth factor receptor,Serine/threonine-protein kinase mTOR,0.802
Epidermal growth factor receptor,Matrix metalloproteinase-9,0.827
Epidermal growth factor receptor,Progesterone receptor,0.83
Epidermal growth factor receptor,Prostaglandin G/H synthase 2,0.836
Epidermal growth factor receptor,Peroxisome proliferator-activated receptor gamma,0.843
Epidermal growth factor receptor,Steroid hormone receptor ERR2,0.848
Epidermal growth factor receptor,Tyrosine-protein kinase Lyn,0.859
Epidermal growth factor receptor,Tyrosine-protein kinase ABL1,0.861
Epidermal growth factor receptor,Fibroblast growth factor 1,0.887
Epidermal growth factor receptor,Histone deacetylase 6,0.919
Epidermal growth factor receptor,Protein kinase C alpha type,0.932
Epidermal growth factor receptor,Hypoxia-inducible factor 1-alpha,0.934
Epidermal growth factor receptor,Tyrosine-protein kinase JAK2,0.986
Epidermal growth factor receptor,Estrogen receptor,0.988
Epidermal growth factor receptor,Insulin-like growth factor 1 receptor,0.989
Epidermal growth factor receptor,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",0.993
Epidermal growth factor receptor,GTPase HRas,0.994
Epidermal growth factor receptor,Receptor tyrosine-protein kinase erbB-4,0.996
Epidermal growth factor receptor,Hepatocyte growth factor receptor,0.996
Epidermal growth factor receptor,Tyrosine-protein phosphatase non-receptor type 1,0.997
Epidermal growth factor receptor,Heat shock protein HSP 90-beta,0.998
Epidermal growth factor receptor,Heat shock protein HSP 90-alpha,0.999
Epidermal growth factor receptor,Proto-oncogene tyrosine-protein kinase Src,0.999
Estrogen receptor,Mitogen-activated protein kinase 1,0.987
Estrogen receptor,Glucocorticoid receptor,0.896
Estrogen receptor,Signal transducer and activator of transcription 3,0.93
Estrogen receptor,Receptor tyrosine-protein kinase erbB-2,0.976
Estrogen receptor,Peroxisome proliferator-activated receptor gamma,0.794
Estrogen receptor,Trefoil factor 1,0.978
Estrogen receptor,Progesterone receptor,0.974
Estrogen receptor,Transcription factor Sp1,0.999
Estrogen receptor,Heat shock protein HSP 90-alpha,0.999
Estrogen receptor,Receptor tyrosine-protein kinase erbB-4,0.961
Estrogen receptor,Estrogen receptor beta,0.998
Estrogen receptor,Serine/threonine-protein kinase mTOR,0.745
Estrogen receptor,Poly [ADP-ribose] polymerase 1,0.746
Estrogen receptor,Inhibitor of nuclear factor kappa-B kinase subunit alpha,0.735
Estrogen receptor,Heat shock protein HSP 90-beta,0.993
Estrogen receptor,Matrix metalloproteinase-9,0.772
Estrogen receptor,Histone deacetylase 1,0.998
Estrogen receptor,Proto-oncogene tyrosine-protein kinase Src,0.999
Estrogen receptor,Sex hormone-binding globulin,0.729
Estrogen receptor,Steroid hormone receptor ERR1,0.888
Estrogen receptor,GTPase HRas,0.715
Estrogen receptor,Serine/threonine-protein kinase B-raf,0.746
Estrogen receptor,Fibroblast growth factor receptor 2,0.774
Estrogen receptor,Histone deacetylase 2,0.903
Estrogen receptor,RAC-alpha serine/threonine-protein kinase,0.913
Estrogen receptor,Hypoxia-inducible factor 1-alpha,0.948
Estrogen receptor,Insulin-like growth factor 1 receptor,0.999
Estrogen receptor beta,Mitogen-activated protein kinase 1,0.948
Estrogen receptor beta,Receptor tyrosine-protein kinase erbB-2,0.717
Estrogen receptor beta,Transcription factor Sp1,0.988
Estrogen receptor beta,Voltage-dependent T-type calcium channel subunit alpha-1H,0.914
Estrogen receptor beta,Heat shock protein HSP 90-alpha,0.884
Estrogen receptor beta,Sex hormone-binding globulin,0.759
Estrogen receptor beta,Insulin-like growth factor 1 receptor,0.813
Estrogen receptor beta,Heat shock protein HSP 90-beta,0.832
Estrogen receptor beta,Proto-oncogene tyrosine-protein kinase Src,0.995
Estrogen-related receptor gamma,Steroid hormone receptor ERR2,0.748
Estrogen-related receptor gamma,Nuclear receptor subfamily 0 group B member 1,0.764
Estrogen-related receptor gamma,Steroid hormone receptor ERR1,0.927
Eukaryotic translation initiation factor 3 subunit F,Serine/threonine-protein kinase mTOR,0.805
Fibroblast growth factor 1,Receptor-type tyrosine-protein kinase FLT3,0.759
Fibroblast growth factor 1,Platelet-derived growth factor receptor alpha,0.819
Fibroblast growth factor 1,Platelet-derived growth factor receptor beta,0.842
Fibroblast growth factor 1,Vascular endothelial growth factor receptor 3,0.807
Fibroblast growth factor 1,Vascular endothelial growth factor receptor 2,0.919
Fibroblast growth factor 1,Receptor tyrosine-protein kinase erbB-2,0.787
Fibroblast growth factor 1,Vascular endothelial growth factor receptor 1,0.944
Fibroblast growth factor 1,Mast/stem cell growth factor receptor Kit,0.811
Fibroblast growth factor 1,Fibroblast growth factor receptor 4,0.999
Fibroblast growth factor 1,Hepatocyte growth factor receptor,0.761
Fibroblast growth factor 1,Fibroblast growth factor receptor 3,0.999
Fibroblast growth factor 1,Receptor tyrosine-protein kinase erbB-4,0.773
Fibroblast growth factor 1,Fibroblast growth factor receptor 1,0.999
Fibroblast growth factor 1,Fibroblast growth factor receptor 2,0.999
Fibroblast growth factor 1,Insulin-like growth factor 1 receptor,0.772
Fibroblast growth factor receptor 1,Platelet-derived growth factor receptor alpha,0.715
Fibroblast growth factor receptor 1,Receptor tyrosine-protein kinase erbB-2,0.737
Fibroblast growth factor receptor 1,Fibroblast growth factor receptor 4,0.967
Fibroblast growth factor receptor 1,Heat shock protein HSP 90-alpha,0.74
Fibroblast growth factor receptor 1,Fibroblast growth factor receptor 3,0.854
Fibroblast growth factor receptor 1,Fibroblast growth factor receptor 2,0.853
Fibroblast growth factor receptor 1,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",0.933
Fibroblast growth factor receptor 1,GTPase HRas,0.962
Fibroblast growth factor receptor 2,Signal transducer and activator of transcription 3,0.847
Fibroblast growth factor receptor 2,Receptor tyrosine-protein kinase erbB-2,0.744
Fibroblast growth factor receptor 2,Progesterone receptor,0.854
Fibroblast growth factor receptor 2,Fibroblast growth factor receptor 3,0.987
Fibroblast growth factor receptor 2,Proto-oncogene tyrosine-protein kinase Src,0.958
Fibroblast growth factor receptor 2,Tyrosine-protein kinase JAK2,0.921
Fibroblast growth factor receptor 2,GTPase HRas,0.961
Fibroblast growth factor receptor 2,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",0.754
Fibroblast growth factor receptor 3,Receptor tyrosine-protein kinase erbB-2,0.765
Fibroblast growth factor receptor 3,Fibroblast growth factor receptor 4,0.79
Fibroblast growth factor receptor 3,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",0.745
Fibroblast growth factor receptor 3,Tyrosine-protein kinase JAK2,0.921
Fibroblast growth factor receptor 3,Proto-oncogene tyrosine-protein kinase Src,0.923
Fibroblast growth factor receptor 3,GTPase HRas,0.982
Fibroblast growth factor receptor 4,Receptor tyrosine-protein kinase erbB-2,0.829
Fibroblast growth factor receptor 4,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",0.724
Fibroblast growth factor receptor 4,GTPase HRas,0.943
"Folylpolyglutamate synthase, mitochondrial",Reduced folate transporter,0.728
"Folylpolyglutamate synthase, mitochondrial",Thymidylate synthase,0.992
GABA(A) Receptor,Neuronal acetylcholine receptor subunit alpha-4,0.707
GABA(A) Receptor,"Glutamate receptor ionotropic, NMDA 2B",0.741
GABA(A) Receptor,Neuronal acetylcholine receptor subunit alpha-2,0.767
GTPase HRas,Mitogen-activated protein kinase 1,0.979
GTPase HRas,Receptor-type tyrosine-protein kinase FLT3,0.781
GTPase HRas,Protein farnesyltransferase subunit beta,0.783
GTPase HRas,Platelet-derived growth factor receptor alpha,0.96
GTPase HRas,Platelet-derived growth factor receptor beta,0.962
GTPase HRas,Receptor tyrosine-protein kinase erbB-2,0.907
GTPase HRas,Mast/stem cell growth factor receptor Kit,0.962
GTPase HRas,Hepatocyte growth factor receptor,0.961
GTPase HRas,Heat shock protein HSP 90-alpha,0.819
GTPase HRas,Receptor tyrosine-protein kinase erbB-4,0.827
GTPase HRas,Tyrosine-protein kinase ABL1,0.782
GTPase HRas,Proto-oncogene tyrosine-protein kinase Src,0.994
GTPase HRas,Tyrosine-protein kinase JAK2,0.781
GTPase HRas,Mitogen-activated protein kinase kinase kinase 1,0.945
GTPase HRas,Tyrosine-protein kinase Lyn,0.772
GTPase HRas,RAC-alpha serine/threonine-protein kinase,0.896
GTPase HRas,Protein kinase C beta type,0.919
GTPase HRas,Protein kinase C alpha type,0.937
GTPase HRas,Insulin-like growth factor 1 receptor,0.949
GTPase HRas,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",0.963
GTPase HRas,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",0.998
GTPase HRas,Serine/threonine-protein kinase B-raf,0.999
Gamma-secretase subunit APH-1A,Gamma-secretase subunit APH-1B,0.975
Gamma-secretase subunit APH-1A,Nicastrin,0.999
Gamma-secretase subunit APH-1A,Presenilin-1,0.999
Gamma-secretase subunit APH-1A,Gamma-secretase subunit PEN-2,0.999
Gamma-secretase subunit APH-1B,Nicastrin,0.999
Gamma-secretase subunit APH-1B,Gamma-secretase subunit PEN-2,0.999
Gamma-secretase subunit APH-1B,Presenilin-1,0.999
Gamma-secretase subunit PEN-2,Nicastrin,0.999
Gamma-secretase subunit PEN-2,Presenilin-1,0.999
Gap junction alpha-1 protein,Mitogen-activated protein kinase 1,0.943
Gap junction alpha-1 protein,Inward rectifier potassium channel 2,0.76
Gap junction alpha-1 protein,Tubulin beta chain,0.943
Gap junction alpha-1 protein,Proto-oncogene tyrosine-protein kinase Src,0.998
Geranylgeranyl transferase type-1 subunit beta,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,0.999
Glucocorticoid receptor,Progesterone receptor,0.733
Glucocorticoid receptor,RAC-alpha serine/threonine-protein kinase,0.791
Glucocorticoid receptor,Histone deacetylase 6,0.824
Glucocorticoid receptor,Hypoxia-inducible factor 1-alpha,0.852
Glucocorticoid receptor,Histone deacetylase 2,0.862
Glucocorticoid receptor,Mineralocorticoid receptor,0.929
Glucocorticoid receptor,Histone deacetylase 1,0.929
Glucocorticoid receptor,Signal transducer and activator of transcription 3,0.981
Glucocorticoid receptor,Heat shock protein HSP 90-beta,0.998
Glucocorticoid receptor,Heat shock protein HSP 90-alpha,0.999
Glutamate (NMDA) receptor,Glutamate receptor 1,0.84
Glutamate (NMDA) receptor,"Glutamate receptor ionotropic, NMDA 3A",0.995
Glutamate (NMDA) receptor,"Glutamate receptor ionotropic, NMDA 2B",0.996
Glutamate (NMDA) receptor,"Glutamate receptor ionotropic, NMDA 2D",0.996
Glutamate (NMDA) receptor,"Glutamate receptor ionotropic, NMDA 2A",0.998
Glutamate (NMDA) receptor,"Glutamate receptor ionotropic, NMDA 1",0.999
Glutamate receptor 1,"Glutamate receptor ionotropic, NMDA 2D",0.816
Glutamate receptor 1,"Glutamate receptor ionotropic, NMDA 2A",0.926
Glutamate receptor 1,"Glutamate receptor ionotropic, NMDA 3A",0.815
Glutamate receptor 1,"Glutamate receptor ionotropic, NMDA 1",0.907
Glutamate receptor 1,Protein kinase C alpha type,0.706
Glutamate receptor 1,Tyrosine-protein kinase Lyn,0.907
Glutamate receptor 1,"Glutamate receptor ionotropic, NMDA 2B",0.934
"Glutamate receptor ionotropic, NMDA 1","Glutamate receptor ionotropic, NMDA 2D",0.999
"Glutamate receptor ionotropic, NMDA 1","Glutamate receptor ionotropic, NMDA 2A",0.999
"Glutamate receptor ionotropic, NMDA 1","Glutamate receptor ionotropic, NMDA 3A",0.999
"Glutamate receptor ionotropic, NMDA 1","Glutamate receptor ionotropic, NMDA 2B",0.999
"Glutamate receptor ionotropic, NMDA 2A","Glutamate receptor ionotropic, NMDA 2D",0.998
"Glutamate receptor ionotropic, NMDA 2A",Receptor tyrosine-protein kinase erbB-4,0.768
"Glutamate receptor ionotropic, NMDA 2A",Proto-oncogene tyrosine-protein kinase Src,0.963
"Glutamate receptor ionotropic, NMDA 2A","Glutamate receptor ionotropic, NMDA 2B",0.999
"Glutamate receptor ionotropic, NMDA 2A","Glutamate receptor ionotropic, NMDA 3A",0.999
"Glutamate receptor ionotropic, NMDA 2B","Glutamate receptor ionotropic, NMDA 2D",0.998
"Glutamate receptor ionotropic, NMDA 2B",Receptor tyrosine-protein kinase erbB-4,0.753
"Glutamate receptor ionotropic, NMDA 2B","Glutamate receptor ionotropic, NMDA 3A",0.999
"Glutamate receptor ionotropic, NMDA 2B",Proto-oncogene tyrosine-protein kinase Src,0.933
